name,category,price,full_price,rating_value,rating_reviewCount,latitude,longitude,room_info,bed_info
Studio alto padrão no Umarizal,Apartamento ⋅ Belém,2754.91,30304.01,5.0,4,-1.43934132309331,-48.49121394567971,1 quarto,2 camas
Cobertura Privativa no Umarizal,Apartamento ⋅ Belém,667.76,7345.36,0.0,0,-1.44616,-48.48578,1 quarto,1 cama de casal
Apto um quarto com piscina perto do Bosque,Condomínio ⋅ Marco,1721.93,18941.23,4.87,62,-1.43216,-48.46253,1 quarto,2 camas
Bayview Deluxe Umarizal,Apartamento ⋅ Belém,3984.98,43834.78,5.0,20,-1.4401,-48.4915,1 quarto,1 cama
Excelente suíte em apto com preço US$ 120/dia,Lugar para ficar em Belém,758.36,8341.960000000001,0.0,0,-1.4297686825482252,-48.48847695249146,1 quarto,1 cama
Lindo apartamento localização perfeita COP30,Apartamento ⋅ Belém,1540.59,16946.489999999998,0.0,0,-1.43398864373412,-48.47584480457896,2 quartos,1 cama
apartamento confortável e moderno,Apartamento ⋅ Belém,4006.59,44072.490000000005,0.0,0,-1.4171,-48.4631,2 quartos,2 camas
Ap 2/4 na Doca em Prédio de Luxo,Apartamento ⋅ Belém,3402.35,37425.85,0.0,0,-1.4401,-48.4915,2 quartos,2 camas de casal
Cobertura duplex com jacuzzi COP 30,Apartamento ⋅ Belém,10035.15,110386.65,5.0,4,-1.4339763493438469,-48.45111369075643,3 quartos,3 camas
Flat moderno e aconchegante,Loft ⋅ Belém,2602.61,28628.710000000003,0.0,0,-1.46824,-48.49176,1 quarto,1 cama
Luxuoso Apartamento Exclusivo na COP30 - Belém,Apartamento ⋅ Belém,2032.54,22357.94,0.0,0,-1.46379,-48.48549,3 quartos,3 camas
Chalé Nomad,Casa ⋅ Belém,3944.71,43391.81,0.0,0,-1.5058,-48.4938,1 quarto,1 cama
Studio Unique Luxo c/ garagem,Apartamento ⋅ Belém,5188.64,57075.04,4.95,55,-1.44595,-48.47094,1 quarto,2 camas
Apartamento para cop30,Apartamento ⋅ Belém,2904.78,31952.58,0.0,0,-1.4401,-48.4915,1 quarto,1 cama king
Excelente para COP30 e Círio em Belém,Apartamento ⋅ Belém,4366.04,48026.44,0.0,0,-1.4316,-48.4611,3 quartos,6 camas
Estadia Perfeita no coração de Belém,Apartamento ⋅ Belém,2592.24,28514.64,0.0,0,-1.4425,-48.4882,1 quarto,1 cama de casal
Apto Novíssimo arejado c varanda,Apartamento ⋅ Belém,1141.18,12552.980000000001,0.0,0,-1.4307,-48.4633,1 quarto,1 cama
Apartamento 2 Quartos Luxo COP30 100% climatizado.,Apartamento ⋅ Belém,4929.88,54228.68,0.0,0,-1.3903562914690435,-48.47077316634884,2 quartos,1 cama de casal
COP 30. Aluguel de Apto - de Frente para a Baía,Apartamento ⋅ Belém,3550.24,39052.64,0.0,0,-1.44117,-48.49166,1 quarto,2 camas
Apto de Luxo (Loft Duplex) área nobre (Doca),Apartamento ⋅ Belém,5020.91,55230.009999999995,5.0,4,-1.44705,-48.48388,1 quarto,1 cama queen
Casa de hóspedes,Casa de hóspedes ⋅ Belém,3423.53,37658.83,0.0,0,-1.4703123894003465,-48.45754216280853,1 quarto,2 camas
"Bayview Umarizal, Belém",Apartamento ⋅ Belém,3846.89,42315.79,5.0,11,-1.4401,-48.4915,1 quarto,1 cama queen
Loft Duplex com garagem,Apartamento ⋅ Belém,5087.33,55960.63,5.0,12,-1.4473242810598568,-48.4838383103749,1 quarto,1 cama
Loft em Belém Ideal para COP30,Apartamento ⋅ Belém,3004.94,33054.340000000004,0.0,0,-1.446262729248168,-48.47039770066793,1 quarto,2 camas
cop 30 apartamento luxuoso,Apartamento ⋅ Belém,1916.0,21076.0,0.0,0,-1.46504,-48.48681,2 quartos,2 camas
Loft encantador com vista para baia e piscina,Loft ⋅ Belém,5085.25,55937.75,4.99,68,-1.43899,-48.49062,1 quarto,2 camas
Clube do condomínio de apartamentos - Ekoara Tower,Apartamento ⋅ Belém,6424.83,70673.13,0.0,0,-1.4328,-48.4546,3 quartos,3 camas queen
Apartamento confortável Cop30,Apartamento ⋅ Belém,2866.78,31534.58,0.0,0,-1.4652,-48.4888,2 quartos,2 camas de casal
Loft Mobiliado - Em Belém,Apartamento ⋅ Belém,3381.18,37192.979999999996,0.0,0,-1.4672430437342416,-48.49085754147029,1 quarto,1 cama
Viva uma experiência inesquecível em Belém do Pará,Apartamento ⋅ Belém,5687.19,62559.09,4.88,278,-1.44638,-48.4864,2 quartos,3 camas
"Apartamento em Belém, hangar e COP30Moderno",Condomínio ⋅ Belém,3606.56,39672.159999999996,0.0,0,-1.40335,-48.45083,2 quartos,3 camas
Apartamento de Luxo Exclusivo para a COP30,Apartamento ⋅ Belém,6677.65,73454.15,0.0,0,-1.4469,-48.4767,1 quarto,1 cama
Loft completamente mobiliado.,Loft ⋅ Belém,2618.85,28807.35,4.8,80,-1.4672,-48.4909,1 quarto,2 camas
Apartamento Moderno no Centro de Belém,Quarto em Belém,1232.47,13557.17,5.0,21,-1.45989,-48.49389,1 cama de casal,
Apartamento edifício lá residence - COP 30,Apartamento ⋅ Belém,2897.14,31868.539999999997,0.0,0,-1.4553585379995078,-48.48818421323185,2 quartos,2 camas
Cop30 Conforto e Localização,Apartamento ⋅ Belém,3650.73,40158.03,0.0,0,-1.4411426397069216,-48.49055794740472,2 quartos,2 camas
Apartamento COP30 — Marco Stay,Apartamento ⋅ Belém,4006.59,44072.490000000005,0.0,0,-1.4338829163016855,-48.467571344933326,2 quartos,2 camas
Quarto com banheiro em Batista Campos,Lugar para ficar em Belém,669.26,7361.86,0.0,0,-1.4622630496031943,-48.492568197223314,1 quarto,1 cama
Apartamento Belém-PA COP30 - Ed.MISTRAL 2 quartos,Apartamento ⋅ Belém,2852.94,31382.34,0.0,0,-1.4618468685903296,-48.47772884698953,2 quartos,2 camas
Acomodação Perfeita para a COP30 em Belém,Apartamento ⋅ Belém,2282.35,25105.85,0.0,0,-1.438,-48.4703,2 quartos,2 camas
Casa Combú Chalé III,Lugar para ficar em Belém,1369.41,15063.51,0.0,0,-1.493758486859095,-48.48569543540919,1 cama,
Apto de luxo COP30 Breeze-5min do Parque da Cidade,Apartamento ⋅ Belém,4700.29,51703.19,0.0,0,-1.39037,-48.46879,2 quartos,3 camas
Exclusivo FLAT-Mobiliado_Rio-Elba403,Apartamento ⋅ Marco,2567.65,28244.15,5.0,4,-1.43245,-48.45349,1 quarto,3 camas
Apartamento aconchegante cop 30 proximo do evento,Apartamento ⋅ Belém,3806.26,41868.86,0.0,0,-1.43882,-48.47065,3 quartos,6 camas
Apartamento de Alto Padrão no Umarizal,Apartamento ⋅ Belém,6847.06,75317.66,0.0,0,-1.4449,-48.4844,3 quartos,3 camas
Recanto da Laura - Conforto e Estilo,Apartamento ⋅ Belém,2868.5,31553.5,5.0,6,-1.4457660947208288,-48.47102919739165,2 quartos,3 camas
Estúdio Mobiliado T&F,Apartamento ⋅ Belém,2738.82,30127.02,0.0,0,-1.458,-48.489,1 quarto,1 cama
Ilha de Murano COP 30,Apartamento ⋅ Belém,5705.89,62764.79,0.0,0,-1.3883662801222487,-48.470156240109006,3 quartos,3 camas
COP30 Apartamento Duplex- Estadia Premium em Belém,Apartamento ⋅ Belém,5322.03,58542.329999999994,0.0,0,-1.4470257728847786,-48.4852612674692,1 quarto,2 camas
#2 Sofisticado Estúdio em Batista Campos,Loft ⋅ Belém,5349.53,58844.829999999994,0.0,0,-1.458,-48.489,1 quarto,2 camas
Acomodação COP30,Apartamento ⋅ Belém,6410.54,70515.94,0.0,0,-1.3913,-48.4695,2 quartos,2 camas
Loft Moderno no Mandarim,Apartamento ⋅ Belém,8165.12,89816.31999999999,0.0,0,-1.4401,-48.4915,2 camas de solteiro,
Apartamento COP30.,Apartamento ⋅ Belém,9201.92,101221.12,0.0,0,-1.3892,-48.4692,3 quartos,3 camas
Studio na Amazônia,Apartamento ⋅ Belém,4861.92,53481.12,5.0,3,-1.4466,-48.47,1 quarto,2 camas
09 Luxury Suíte  Radisson Maiorana,Hotel ⋅ Belém,10118.12,111299.32,4.76,17,-1.4547,-48.4892,1 quarto,1 cama
Apartamento completo e confortável,Apartamento ⋅ Belém,5705.89,62764.79,0.0,0,-1.4612682401493906,-48.479645832352865,2 quartos,2 camas
Linda Casa nova em Cond Fechado próx Cop30,Casa ⋅ Belém,8451.82,92970.01999999999,0.0,0,-1.3869,-48.4463,4 quartos,5 camas
Apartamento Premium na COP 30 (Estadia Premium),Apartamento ⋅ Belém,6276.47,69041.17,0.0,0,-1.4359,-48.4605,2 quartos,2 camas
Excelente apartamento luxo,Apartamento ⋅ Belém,5809.63,63905.93,0.0,0,-1.3917,-48.4692,3 quartos,3 camas
Village Prime Umarizal – 3 Suítes + Lazer Completo,Apartamento ⋅ Belém,9273.6,102009.6,0.0,0,-1.4389,-48.4898,1 quarto,1 cama
Casa inteira com 5 banheiros - 12 pessoas (até 15),Casa ⋅ Belém,8903.53,97938.83,0.0,0,-1.4719,-48.4565,4 quartos,7 camas
Apartamento de luxo em Belém,Apartamento ⋅ Belém,6777.92,74557.12,0.0,0,-1.438586896158572,-48.48629933300568,4 quartos,7 camas
Apartamento COP 30 (próximo aos eventos),Apartamento ⋅ Belém,4451.77,48969.47,0.0,0,-1.4434,-48.4651,2 quartos,3 camas
Ed. athenas Future - 2/4 - apto 2205,Apartamento ⋅ Belém,5087.33,55960.63,0.0,0,-1.4355,-48.4774,2 quartos,2 camas
Mistral na Cop30!,Apartamento ⋅ Belém,5705.89,62764.79,0.0,0,-1.4609,-48.4784,2 quartos,2 camas
